frame,ball_d_raw,ball_d_smooth,poss_d_raw,poss_d_smooth,d_diff_smooth,d_avg_smooth
240,16.3898,16.7095,0.9676,0.8105,15.8991,8.7600
241,16.5581,16.7531,0.5226,0.7726,15.9805,8.7629
242,16.9679,16.9147,0.2178,0.7052,16.2095,8.8099
243,16.4865,16.8686,0.7246,0.6391,16.2295,8.7539
244,16.0433,16.4891,0.5871,0.6039,15.8852,8.5465
245,16.7628,16.5637,0.2242,0.4553,16.1085,8.5095
246,16.4313,16.5384,0.5882,0.4684,16.0700,8.5034
247,15.3885,16.2225,0.6904,0.5629,15.6596,8.3927
248,16.1708,16.1594,0.4671,0.5114,15.6480,8.3354
249,15.8476,16.1202,0.4879,0.4916,15.6287,8.3059
250,16.0094,15.9695,0.1631,0.4793,15.4902,8.2244
251,17.0739,17.0739,1.1340,0.5885,16.4853,8.8312
252,16.8462,16.9600,1.1197,0.6744,16.2856,8.8172
253,17.0660,16.9953,0.9339,0.7677,16.2276,8.8815
254,17.2860,17.0680,0.3643,0.7430,16.3250,8.9055
255,17.5857,17.1715,1.1857,0.9475,16.2240,9.0595
256,17.4545,17.2477,0.8057,0.8819,16.3658,9.0648
257,16.9831,17.2750,1.4295,0.9438,16.3312,9.1094
258,17.5656,17.3750,0.2920,0.8154,16.5595,9.0952
259,17.2356,17.3649,0.0245,0.7475,16.6174,9.0562
260,17.3597,17.3197,0.6594,0.6422,16.6775,8.9809
261,17.0321,17.2352,0.7301,0.6271,16.6081,8.9312
262,17.4470,17.3280,0.3985,0.4209,16.9071,8.8744
263,17.2684,17.2686,0.4365,0.4498,16.8188,8.8592
264,17.0745,17.2364,0.4354,0.5320,16.7044,8.8842
265,16.7293,17.1103,0.4624,0.4926,16.6177,8.8014
266,16.6388,17.0316,0.3127,0.4091,16.6225,8.7204
267,16.6714,16.8765,0.4052,0.4105,16.4660,8.6435
268,16.9926,16.8213,0.6966,0.4625,16.3588,8.6419
269,16.4268,16.6918,1.0099,0.5774,16.1144,8.6346
270,16.1419,16.5743,0.6609,0.6171,15.9572,8.5957
271,16.0824,16.4630,0.5118,0.6569,15.8061,8.5600
272,15.3459,16.1979,0.6486,0.7056,15.4924,8.4517
273,14.9295,15.7853,0.7790,0.7220,15.0633,8.2537
274,14.1335,15.3267,0.5082,0.6217,14.7050,7.9742
275,13.6732,14.8329,0.9367,0.6768,14.1561,7.7549
276,13.8062,14.3777,1.2273,0.8199,13.5578,7.5988
277,13.6828,14.0450,1.3457,0.9593,13.0857,7.5022
278,13.3001,13.7192,1.1890,1.0413,12.6778,7.3803
279,13.6266,13.6178,1.4183,1.2234,12.3944,7.4206
280,13.5041,13.5839,1.2961,1.2953,12.2887,7.4396
281,13.3030,13.4833,1.2877,1.3073,12.1760,7.3953
282,13.1462,13.3760,1.1245,1.2631,12.1129,7.3196
283,13.0088,13.3177,0.8877,1.2029,12.1149,7.2603
284,12.6646,13.1253,1.1624,1.1517,11.9737,7.1385
285,12.6411,12.9527,1.0621,1.0621,11.8907,7.0074
286,12.0880,12.7097,3.2635,2.1628,10.5470,7.4363
287,12.7007,12.6206,4.5412,2.9556,9.6651,7.7881
288,13.4025,13.4025,5.8487,3.6789,9.7236,8.5407
289,13.3081,13.3553,13.8411,5.7113,7.6440,9.5333
290,13.0971,13.2692,15.5542,8.6097,4.6595,10.9395
291,13.3126,13.2800,14.0796,10.7729,2.5071,12.0265
292,13.3573,13.2955,12.8276,12.4302,0.8653,12.8629
293,13.7401,13.3630,1.7054,11.6016,1.7614,12.4823
294,13.3058,13.3626,1.4100,9.1154,4.2472,11.2390
295,13.7272,13.4886,0.2270,6.0499,7.4387,9.7693
296,13.7323,13.5725,0.0226,3.2385,10.3340,8.4055
297,14.1342,13.7279,0.1895,0.7109,13.0170,7.2194
298,14.1553,13.8110,0.0014,0.3701,13.4408,7.0905
299,14.4563,14.0411,0.0411,0.0963,13.9447,7.0687
300,13.8718,14.0700,0.0429,0.0595,14.0105,7.0647
301,14.0591,14.1353,0.0379,0.0626,14.0728,7.0990
302,13.9822,14.1049,0.0986,0.0444,14.0605,7.0747
303,13.8983,14.0535,0.0005,0.0442,14.0093,7.0489
304,14.0235,13.9670,0.0001,0.0360,13.9310,7.0015
305,13.8798,13.9686,0.0000,0.0274,13.9412,6.9980
306,14.1194,13.9806,0.0000,0.0198,13.9608,7.0002
307,13.1965,13.8235,0.0000,0.0001,13.8234,6.9118
308,13.2254,13.6889,0.0000,0.0000,13.6889,6.8445
309,12.6939,13.4230,0.0000,0.0000,13.4230,6.7115
310,12.2461,13.0963,0.0000,0.0000,13.0963,6.5481
311,12.1458,12.7016,0.0000,0.0000,12.7015,6.3508
312,12.3425,12.5307,0.0000,0.0000,12.5307,6.2654
313,12.4103,12.3677,0.0000,0.0000,12.3677,6.1839
314,12.0830,12.2455,0.0000,0.0000,12.2455,6.1228
315,11.8799,12.1723,0.0000,0.0000,12.1723,6.0861
316,12.3843,12.2200,0.0000,0.0000,12.2200,6.1100
317,12.3101,12.2135,0.0000,0.0000,12.2135,6.1068
318,11.8042,12.0923,0.0000,0.0000,12.0923,6.0462
319,12.0773,12.0912,0.0000,0.0000,12.0912,6.0456
320,12.3729,12.1898,0.0000,0.0000,12.1898,6.0949
321,12.0054,12.1140,0.0000,0.0000,12.1140,6.0570
322,12.0473,12.0614,0.0000,0.0000,12.0614,6.0307
323,12.1832,12.1372,0.0000,0.0000,12.1372,6.0686
324,12.3490,12.1916,0.0000,0.0000,12.1916,6.0958
325,12.5901,12.2350,0.0000,0.0000,12.2350,6.1175
326,12.4922,12.3324,0.0000,0.0000,12.3324,6.1662
327,12.7982,12.4825,0.0000,0.0000,12.4825,6.2413
328,12.9231,12.6305,0.0000,0.0000,12.6305,6.3153
329,12.9857,12.7579,0.0000,0.0000,12.7578,6.3789
330,13.1280,12.8654,0.0000,0.0000,12.8654,6.4327
331,13.0949,12.9860,0.0000,0.0000,12.9860,6.4930
332,13.1783,13.0620,0.0000,0.0000,13.0620,6.5310
333,13.2452,13.1264,0.0000,0.0000,13.1264,6.5632
334,13.8266,13.2946,0.0000,0.0000,13.2946,6.6473
335,13.7784,13.4247,0.0000,0.0000,13.4247,6.7123
336,14.0731,13.6203,0.0000,0.0000,13.6203,6.8102
337,14.1200,13.8087,0.0000,0.0000,13.8086,6.9043
338,14.1414,13.9879,0.0000,0.0000,13.9879,6.9939
339,14.0914,14.0408,0.0000,0.0000,14.0408,7.0204
340,14.1696,14.1191,0.0000,0.0000,14.1191,7.0595
341,14.0559,14.1156,0.0000,0.0000,14.1156,7.0578
342,13.8676,14.0652,0.0000,0.0000,14.0652,7.0326
343,13.7814,13.9932,0.0000,0.0000,13.9932,6.9966
344,13.5546,13.8858,0.0000,0.0000,13.8858,6.9429
345,13.6849,13.7889,0.0000,0.0000,13.7888,6.8944
346,13.7542,13.7285,0.0000,0.0000,13.7285,6.8643
347,13.5795,13.6709,0.0000,0.0000,13.6709,6.8354
348,13.6301,13.6407,0.0000,0.0000,13.6407,6.8203
349,13.6047,13.6507,0.0000,0.0000,13.6507,6.8253
350,13.7479,13.6633,0.0000,0.0000,13.6633,6.8316
351,13.8617,13.6848,0.0000,0.0000,13.6848,6.8424
352,14.1683,13.8025,0.0000,0.0000,13.8025,6.9013
353,,,,,,
354,,,,,,
355,,,,,,
356,,,,,,
357,,,,,,
358,,,,,,
359,,,,,,
360,,,,,,
361,,,,,,
362,,,,,,
363,,,,,,
364,,,,,,
365,,,,,,
366,,,,,,
