x,y,frame
1880.5,924.0,134
1882.5,922.0,135
1884.0,919.5,136
3012.5,996.5,137
3048.0,997.0,138
3084.5,997.0,139
3120.0,997.5,140
3156.5,998.0,141
3192.5,998.5,142
3229.0,999.0,143
3264.5,999.5,144
3301.0,999.0,145
3336.5,999.5,146
3373.0,1000.0,147
3408.5,1000.5,148
3445.0,1001.5,149
3481.0,1002.0,150
3517.5,1002.5,151
3553.0,1002.0,152
3589.5,1002.5,153
3625.0,1003.0,154
3661.5,1003.5,155
3697.0,1004.0,156
3733.5,1004.5,157
3769.0,1004.0,158
2697.5,964.5,175
2687.5,963.5,176
2675.5,965.0,177
2659.5,964.5,178
2640.0,965.0,179
2618.5,963.0,180
2594.5,962.5,181
2569.0,962.5,182
2541.5,963.5,183
2514.5,963.5,184
2486.0,960.5,185
2455.5,957.5,186
2423.0,953.5,187
2386.0,950.0,188
2351.0,948.5,189
2313.0,946.0,190
2275.5,948.0,191
2237.5,952.0,192
2201.0,956.0,193
2166.5,960.0,194
2134.5,961.5,195
2102.5,959.5,196
2073.0,957.0,197
2046.0,954.0,198
2019.5,950.5,199
1995.0,951.5,200
1971.0,952.0,201
1948.5,954.5,202
1928.5,954.5,203
1909.5,956.5,204
1891.5,954.5,205
1873.5,953.0,206
1856.0,951.5,207
1839.0,947.5,208
1822.5,947.0,209
1804.0,946.5,210
1789.0,945.0,211
1775.0,943.0,212
1758.0,941.5,213
1744.0,939.5,214
1731.0,936.0,215
1721.5,936.0,216
1716.5,933.0,217
1712.5,931.0,218
1710.5,930.5,219
1705.5,928.5,220
1693.5,927.5,221
1681.0,926.5,222
1669.0,925.0,223
1656.0,923.0,224
1644.0,922.0,225
1631.5,921.0,226
1619.5,919.0,227
1606.5,917.5,228
1594.5,916.5,229
1582.5,914.5,230
1569.0,913.5,231
1557.0,912.0,232
1545.0,911.0,233
1533.0,909.0,234
1519.5,908.0,235
1507.5,907.0,236
1495.5,904.5,237
1483.5,903.5,238
1470.0,902.5,239
1458.0,901.5,240
1446.0,899.0,241
1434.0,898.0,242
1421.0,897.0,243
1408.5,895.0,244
1396.5,893.5,245
1384.5,892.5,246
1371.5,891.5,247
1359.0,889.5,248
1347.0,888.5,249
1334.0,887.0,250
904.5,879.0,251
886.5,875.5,252
874.0,874.0,253
861.5,874.5,254
849.0,876.0,255
836.5,879.5,256
825.0,882.0,257
807.5,881.5,258
790.0,881.0,259
773.0,881.5,260
754.5,881.5,261
737.0,882.0,262
720.0,881.5,263
702.5,882.5,264
684.0,882.0,265
667.0,882.5,266
649.5,882.5,267
632.0,882.0,268
614.5,882.5,269
596.5,882.0,270
579.0,883.0,271
561.5,882.5,272
544.5,883.0,273
526.0,883.0,274
508.5,882.5,275
491.0,883.0,276
474.0,883.0,277
455.5,883.5,278
438.0,883.0,279
421.0,883.5,280
403.5,883.5,281
386.0,884.0,282
368.0,883.5,283
350.5,883.5,284
333.0,884.0,285
315.5,883.5,286
297.5,884.5,287
846.5,928.5,288
853.0,925.5,289
860.0,922.0,290
868.0,921.5,291
878.5,922.5,292
889.0,923.0,293
900.0,923.5,294
910.0,926.5,295
917.5,928.5,296
926.0,927.5,297
932.5,926.5,298
939.5,925.0,299
945.5,924.0,300
953.0,923.5,301
960.5,921.0,302
968.5,919.0,303
976.5,918.5,304
982.5,920.0,305
989.5,923.0,306
995.0,923.5,307
1000.0,923.5,308
1004.5,923.5,309
1011.5,923.5,310
1017.5,923.5,311
1025.0,923.5,312
1031.0,924.0,313
1037.0,924.0,314
1044.0,924.0,315
1042.0,928.5,316
1045.0,931.0,317
1049.0,932.0,318
1054.5,935.5,319
1061.5,939.5,320
1068.0,941.5,321
1069.5,942.0,322
1075.0,943.5,323
1080.0,945.5,324
1085.5,947.0,325
1090.5,948.0,326
1096.0,949.0,327
1101.0,950.5,328
1106.5,952.5,329
1111.5,954.0,330
1117.0,955.0,331
1123.0,956.5,332
1128.5,957.5,333
1133.5,960.0,334
1139.0,961.0,335
1144.0,962.5,336
1149.5,963.5,337
1154.5,965.0,338
1160.0,966.0,339
1165.0,968.5,340
1170.0,969.5,341
1175.5,971.0,342
1180.5,972.0,343
1186.0,973.5,344
1191.0,975.5,345
1196.5,976.5,346
1201.5,978.0,347
1207.0,979.0,348
1212.0,980.5,349
1217.5,982.5,350
1222.5,984.0,351
1228.0,985.0,352
