from_person_id,to_person_id,start_frame,end_frame,from_player_name,to_player_name
2,15,19,75,Player 2,Player 8
15,72,249,276,Player 8,Player 21
72,63,285,286,Player 21,Player 18
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
63,72,287,296,Player 18,Player 21
