center_x,center_y,frame
1414.9196171201324,992.479806108217,4
1419.98015754092,992.2038845808923,5
1438.627741139987,992.9238957208554,6
1447.1136931019641,992.8990574651455,7
1455.5996450639414,992.8742192094356,8
1464.0855970259186,992.8493809537258,9
1499.8888082261033,988.9904577276369,10
1513.8504120293878,987.0694051528203,11
1526.6655394298173,989.4948274171811,12
1539.1760957139918,989.1563249744415,13
1551.6866519981663,988.8178225317022,14
1564.1972082823409,988.4793200889627,15
1576.7077645665154,988.1408176462232,16
1595.3338799650319,982.6892879768654,17
1605.7880768100595,983.4195041801424,18
1615.0371498993454,982.8172796787419,19
1627.158385415652,981.7942620636584,20
1640.773269625086,980.5399641230434,21
1654.2698286513041,979.630935670897,22
1665.66665881743,979.4235011071953,23
1679.070958537096,979.3396840626409,24
1690.992896217675,980.5062685824643,25
1701.6712849827386,978.5741040216415,26
1713.6999811852452,977.6237843003858,27
1724.1899181702474,976.8179582495461,28
1732.9750497402279,977.8663103983822,29
1744.0618579158163,981.1050012716219,30
1752.768375335564,982.5558816356206,31
1761.9914047574127,982.2442730457313,32
1772.0596556980536,980.5943954766651,33
1782.5088200346813,979.6453440214793,34
1793.1063936221233,980.2555424814253,35
1802.6620896899963,979.6272666280062,36
1812.1484972618782,981.3571056439887,37
1822.6799072030667,981.9500892478844,38
1832.7372688582755,979.2673842616432,39
1840.8754130737234,977.1623546809521,40
1850.851145367078,977.1875398984083,41
1860.3380488795183,978.2947830382041,42
1868.2105920383453,978.9320481907876,43
1877.1156760103083,980.4855160699294,44
1885.4617072739438,981.3670848806969,45
1892.072122182279,983.6909614796296,46
1898.685916194754,985.5919450514618,47
1905.0691942768663,988.2610094264976,48
1911.842219809621,992.2347685380157,49
1917.8005685385488,998.2830306893366,50
1923.0319613194536,1004.1233374528226,51
1926.1240264203298,1009.4263135592385,52
1928.4480434295247,1012.3227955914949,53
1930.0499937280874,1016.9721980340869,54
1930.388729233292,1020.5611171609253,55
1930.9993485504772,1024.3131368041015,56
1932.1401095462584,1027.6814314742974,57
1933.710393097494,1027.9141714173243,58
1934.5483946007287,1028.3017351352742,59
1936.0033690442442,1029.4481602301319,60
1934.538656659654,1030.684881736111,61
1932.6204100221585,1034.4473724692218,62
1925.625259312752,1036.6906923987474,63
1919.9558298038564,1038.6432768865043,64
1913.1188819043823,1038.8472729568189,65
1904.1961991337723,1039.7182405442302,66
1893.2208071896735,1039.5993020439307,67
1881.9545384293433,1040.0604425185957,68
1869.692981566267,1040.461760081539,69
1858.8856271576979,1040.8289004219594,70
1845.8738135406486,1039.7008189442483,71
1834.5493722303697,1039.269555860971,72
1825.9693857272803,1038.3040412794394,73
1817.143407718323,1036.5752318998304,74
1807.848582331446,1035.9154459342549,75
1800.0775172078238,1036.399329833404,76
1791.9380733169132,1037.3455406128903,77
1787.0898019604329,1036.3213791764672,78
1782.2455188196361,1035.6816108617659,79
1775.2554914835994,1035.3260902299924,80
1767.5988953181698,1034.149863605429,81
1761.2136815294975,1033.1728296353679,82
1757.2866760656516,1033.460506229854,83
1769.3787035460273,1034.5300945452564,84
1775.0227470791715,1035.8121803950628,85
1778.3276740672745,1036.596087199557,86
1778.5000626808082,1036.7374414594672,87
